Major.Group,Major.Group.Code,Sub.Major.Group,Sub.Major.Group.Code,Minor.Group,Minor.Group.Code,Unit.Group,Unit.Group.Code,Occupation,Occupation.Code
MANAGERS,1,"Chief Executives, General Managers and Legislators",11,"Chief Executives, General Managers and Legislators",111,Chief Executives and Managing Directors,1111,Chief Executive or Managing Director,111111
MANAGERS,1,"Chief Executives, General Managers and Legislators",11,"Chief Executives, General Managers and Legislators",111,General Managers,1112,Corporate General Manager,111211
MANAGERS,1,"Chief Executives, General Managers and Legislators",11,"Chief Executives, General Managers and Legislators",111,General Managers,1112,Defence Force Senior Officer,111212
MANAGERS,1,"Chief Executives, General Managers and Legislators",11,"Chief Executives, General Managers and Legislators",111,Legislators,1113,Local Government Legislator,111311
MANAGERS,1,"Chief Executives, General Managers and Legislators",11,"Chief Executives, General Managers and Legislators",111,Legislators,1113,Member of Parliament,111312
MANAGERS,1,"Chief Executives, General Managers and Legislators",11,"Chief Executives, General Managers and Legislators",111,Legislators,1113,Legislators nec,111399
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Aquaculture Farmers,1211,Aquaculture Farmer,121111
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Crop Farmers,1212,Cotton Grower,121211
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Crop Farmers,1212,Flower Grower,121212
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Crop Farmers,1212,Fruit or Nut Grower,121213
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Crop Farmers,1212,"Grain, Oilseed or Pasture Grower (Aus) \ Field Crop Grower (NZ)",121214
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Crop Farmers,1212,Grape Grower,121215
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Crop Farmers,1212,Mixed Crop Farmer,121216
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Crop Farmers,1212,Sugar Cane Grower,121217
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Crop Farmers,1212,Turf Grower,121218
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Crop Farmers,1212,Vegetable Grower (Aus) \ Market Gardener (NZ),121221
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Crop Farmers,1212,Crop Farmers nec,121299
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Livestock Farmers,1213,Apiarist,121311
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Livestock Farmers,1213,Beef Cattle Farmer,121312
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Livestock Farmers,1213,Dairy Cattle Farmer,121313
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Livestock Farmers,1213,Deer Farmer,121314
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Livestock Farmers,1213,Goat Farmer,121315
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Livestock Farmers,1213,Horse Breeder,121316
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Livestock Farmers,1213,Mixed Livestock Farmer,121317
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Livestock Farmers,1213,Pig Farmer,121318
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Livestock Farmers,1213,Poultry Farmer,121321
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Livestock Farmers,1213,Sheep Farmer,121322
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Livestock Farmers,1213,Livestock Farmers nec,121399
MANAGERS,1,Farmers and Farm Managers,12,Farmers and Farm Managers,121,Mixed Crop and Livestock Farmers,1214,Mixed Crop and Livestock Farmer,121411
MANAGERS,1,Specialist Managers,13,"Advertising, Public Relations and Sales Managers",131,"Advertising, Public Relations and Sales Managers",1311,code retired (ANZSCO Revision 1),131111
MANAGERS,1,Specialist Managers,13,"Advertising, Public Relations and Sales Managers",131,"Advertising, Public Relations and Sales Managers",1311,Sales and Marketing Manager,131112
MANAGERS,1,Specialist Managers,13,"Advertising, Public Relations and Sales Managers",131,"Advertising, Public Relations and Sales Managers",1311,Advertising Manager,131113
MANAGERS,1,Specialist Managers,13,"Advertising, Public Relations and Sales Managers",131,"Advertising, Public Relations and Sales Managers",1311,Public Relations Manager,131114
MANAGERS,1,Specialist Managers,13,Business Administration Managers,132,Corporate Services Managers,1321,Corporate Services Manager,132111
MANAGERS,1,Specialist Managers,13,Business Administration Managers,132,Finance Managers,1322,Finance Manager,132211
MANAGERS,1,Specialist Managers,13,Business Administration Managers,132,Human Resource Managers,1323,Human Resource Manager,132311
MANAGERS,1,Specialist Managers,13,Business Administration Managers,132,Policy and Planning Managers,1324,Policy and Planning Manager,132411
MANAGERS,1,Specialist Managers,13,Business Administration Managers,132,Research and Development Managers,1325,Research and Development Manager,132511
MANAGERS,1,Specialist Managers,13,"Construction, Distribution and Production Managers",133,Construction Managers,1331,Construction Project Manager,133111
MANAGERS,1,Specialist Managers,13,"Construction, Distribution and Production Managers",133,Construction Managers,1331,Project Builder,133112
MANAGERS,1,Specialist Managers,13,"Construction, Distribution and Production Managers",133,Engineering Managers,1332,Engineering Manager,133211
MANAGERS,1,Specialist Managers,13,"Construction, Distribution and Production Managers",133,"Importers, Exporters and Wholesalers",1333,Importer or Exporter,133311
MANAGERS,1,Specialist Managers,13,"Construction, Distribution and Production Managers",133,"Importers, Exporters and Wholesalers",1333,Wholesaler,133312
MANAGERS,1,Specialist Managers,13,"Construction, Distribution and Production Managers",133,Manufacturers,1334,Manufacturer,133411
MANAGERS,1,Specialist Managers,13,"Construction, Distribution and Production Managers",133,Production Managers,1335,Production Manager (Forestry),133511
MANAGERS,1,Specialist Managers,13,"Construction, Distribution and Production Managers",133,Production Managers,1335,Production Manager (Manufacturing),133512
MANAGERS,1,Specialist Managers,13,"Construction, Distribution and Production Managers",133,Production Managers,1335,Production Manager (Mining),133513
MANAGERS,1,Specialist Managers,13,"Construction, Distribution and Production Managers",133,"Supply, Distribution and Procurement Managers",1336,Supply and Distribution Manager,133611
MANAGERS,1,Specialist Managers,13,"Construction, Distribution and Production Managers",133,"Supply, Distribution and Procurement Managers",1336,Procurement Manager,133612
MANAGERS,1,Specialist Managers,13,"Education, Health and Welfare Services Managers",134,Child Care Centre Managers,1341,Child Care Centre Manager,134111
MANAGERS,1,Specialist Managers,13,"Education, Health and Welfare Services Managers",134,Health and Welfare Services Managers,1342,Medical Administrator (Aus) \ Medical Superintendent (NZ),134211
MANAGERS,1,Specialist Managers,13,"Education, Health and Welfare Services Managers",134,Health and Welfare Services Managers,1342,Nursing Clinical Director,134212
MANAGERS,1,Specialist Managers,13,"Education, Health and Welfare Services Managers",134,Health and Welfare Services Managers,1342,Primary Health Organisation Manager,134213
MANAGERS,1,Specialist Managers,13,"Education, Health and Welfare Services Managers",134,Health and Welfare Services Managers,1342,Welfare Centre Manager,134214
MANAGERS,1,Specialist Managers,13,"Education, Health and Welfare Services Managers",134,Health and Welfare Services Managers,1342,Health and Welfare Services Managers nec,134299
MANAGERS,1,Specialist Managers,13,"Education, Health and Welfare Services Managers",134,School Principals,1343,School Principal,134311
MANAGERS,1,Specialist Managers,13,"Education, Health and Welfare Services Managers",134,Other Education Managers,1344,Faculty Head,134411
MANAGERS,1,Specialist Managers,13,"Education, Health and Welfare Services Managers",134,Other Education Managers,1344,Regional Education Manager,134412
MANAGERS,1,Specialist Managers,13,"Education, Health and Welfare Services Managers",134,Other Education Managers,1344,Education Managers nec,134499
MANAGERS,1,Specialist Managers,13,ICT Managers,135,ICT Managers,1351,Chief Information Officer,135111
MANAGERS,1,Specialist Managers,13,ICT Managers,135,ICT Managers,1351,ICT Project Manager,135112
MANAGERS,1,Specialist Managers,13,ICT Managers,135,ICT Managers,1351,ICT Managers nec,135199
MANAGERS,1,Specialist Managers,13,Miscellaneous Specialist Managers,139,Commissioned Officers (Management),1391,Commissioned Defence Force Officer,139111
